ID_Pregunta;Seccion;Pregunta;TipoRespuesta;Obligatoria;Activo;Orden;Opciones;AplicaVisita;DependeDe
P083;4;Tipo de inmuebles;Seleccion multiple;No;Si;15;Casa|Apartamento|Local comercial|Bodega|Lote|Otro;Prospección, Seguimiento pero si solicita aumento de cupo si no que sale;
P084;4;Otros activos ($);Texto;Si;Si;16;;Prospección, Seguimiento pero si solicita aumento de cupo si no que sale;
P085;4;Descripción de otros activos;Texto;No;Si;17;;Prospección, Seguimiento pero si solicita aumento de cupo si no que sale;
P086;4;TOTAL ACTIVOS ($);Texto;Si;Si;18;;Prospección, Seguimiento pero si solicita aumento de cupo si no que sale;
P087;4;Cuentas por pagar a terceros ($);Texto;Si;Si;19;;Prospección, Seguimiento pero si solicita aumento de cupo si no que sale;
P088;4;Saldos de obligaciones financieras ($);Texto;Si;Si;20;;Prospección, Seguimiento pero si solicita aumento de cupo si no que sale;
P089;4;TOTAL PASIVO ($);Texto;Si;Si;21;;Prospección, Seguimiento pero si solicita aumento de cupo si no que sale;
P090;8;CONCEPTO CUALITATIVO: ¿Por qué recomienda al cliente y su solicitud?;Texto largo;Si;Si;1;;Prospección, Seguimiento pero si solicita aumento de cupo si no que sale;
P091;8;¿Es viable comercialmente el aumento de cupo o vinculacion?;Si/No;Si;Si;2;si | no;Prospección, Seguimiento pero si solicita aumento de cupo si no que sale;
P092;8;Hora de terminación de la visita;Texto;Si;Si;3;;Prospección, Seguimiento pero si solicita aumento de cupo si no que sale;
P093;OF;Nombre de la oficina;Texto;Si;No;1;;Oficina;
P094;OF;Fecha de la visita (AAAA/MM/DD);Texto;Si;Si;2;;Oficina;
P095;OF;Nombre del funcionario de la oficina consultado;Texto;Si;Si;3;;Oficina;
P096;OF;¿El funcionario conoce puntos de corresponsales bancarios cerca de la oficina?;Si/No;Si;Si;4;Sí | No;Oficina;
P097;OF;¿Cuáles puntos conoce? (nombre y/o ubicación aproximada);Texto largo;Si;Si;5;;Oficina;
P098;OF;Observaciones generales de la visita de oficina;Texto largo;Si;Si;6;;Oficina;
